secondarykey,Index Value
3.8,1738903
3.8,12181725
3.8,1737811
3.8,4611143
3.8,3605283
3.8,2644893
3.8,11120324
3.8,12815741
3.8,6884961
3.8,4228247
3.8,2327080
3.8,7675261
3.8,12041661
3.8,12066113
3.8,7652802
3.8,5051546
3.8,3008773
3.8,5213469
3.8,3006183
3.8,1174838
3.8,2511294
3.8,11492520
3.8,9877369
3.8,5030509
3.8,2340453
3.8,11302681
3.8,5136522
3.8,5210146
3.8,7393640
3.8,7342433
3.8,2321995
3.8,7703692
3.8,799654
3.8,11898685
3.8,4118727
3.8,938030
3.8,1229388
3.8,939624
3.8,12286162
3.8,9943470
3.8,2312590
3.8,795361
3.8,4203553
3.8,7745322
3.8,13005140
3.8,953510
3.8,855851
3.8,9698636
3.8,12309270
3.8,8083857
3.8,959366
3.8,9165945
3.8,7318506
3.8,7735003
3.8,12275228
3.8,1139033
3.8,9081297
3.8,13012312
3.8,9101769
3.8,12757429
3.8,2263535
3.8,7524897
3.8,5152602
3.8,12300467
3.8,2988052
3.8,9673961
3.8,8003338
3.8,10778942
3.8,7572717
3.8,2980968
3.8,11315382
3.8,1076812
3.8,7536280
3.8,11313191
3.8,7542567
3.8,1072347
3.8,5150763
3.8,11309631
3.8,8015358
3.8,11503862
3.8,2994227
3.8,9825493
3.8,7471772
3.8,818597
3.8,4198390
3.8,9814873
3.8,13008141
3.8,12758269
3.8,1106618
3.8,2345516
3.8,2514659
3.8,3338861
3.8,12758064
3.8,9091006
3.8,5143109
3.8,80207
3.8,9135505
3.8,838267
3.8,11306032
3.8,2962269
3.8,11498400
3.8,7240885
3.8,2386303
3.8,7753074
3.8,896780
3.8,3363905
3.8,4304381
3.8,919478
3.8,9034385
3.8,10004729
3.8,7214130
3.8,8129954
3.8,3366243
3.8,9604614
3.8,2467152
3.8,11277945
3.8,4113941
3.8,2295869
3.8,865013
3.8,2488850
3.8,10840307
3.8,4301713
3.8,9704815
3.8,9030394
3.8,766392
3.8,12782058
3.8,9980601
3.8,12080543
3.8,4302937
3.8,9181972
3.8,931735
3.8,7916115
3.8,11260550
3.8,12033319
3.8,3040895
3.8,882118
3.8,5256240
3.8,12787807
3.8,12721790
3.8,11270362
3.8,11287159
3.8,2458354
3.8,2878871
3.8,1274623
3.8,12079155
3.8,7807878
3.8,10180
3.8,11346870
3.8,2556488
4.0,3573749
4.0,2525962
4.0,10974005
4.0,10987474
4.0,12585085
4.2,7985590
4.2,10257993
4.2,8687394
4.2,908214
4.2,8535781
4.2,4696213
4.2,7982772
4.2,12893442
4.2,8691208
4.2,4603566
4.2,4151501
4.2,12574763
4.2,12578661
4.2,6399166
4.2,8530887
4.2,12490152
4.2,12782963
4.2,4594266
4.2,10208382
4.2,7595221
4.2,5959658
4.2,8478099
4.2,1044644
4.2,1045444
4.2,1035381
4.2,10201055
4.2,3050009
4.2,875226
4.2,5947007
4.2,7867355
4.2,2762050
4.2,3210929
4.2,7579790
4.2,4550712
4.2,892809
4.2,7611946
4.2,474428
4.2,1720550
4.2,476422
4.2,6374921
4.2,119393
4.2,12896165
4.2,11352930
4.2,7993111
4.2,2749753
4.2,4705017
4.2,7613977
4.2,1030992
4.2,8708145
4.2,8500993
4.2,486461
4.2,5982752
4.2,2694195
4.2,3593431
4.2,1742751
4.2,7714938
4.2,12193130
4.2,2717776
4.2,959079
4.2,8606255
4.2,2718038
4.2,3034286
4.2,9394372
4.2,12544635
4.2,6252400
4.2,24247
4.2,4655401
4.2,10196820
4.2,12868287
4.2,12765466
4.2,7691466
4.2,929985
4.2,12886167
4.2,4659293
4.2,12767763
4.2,11332786
4.2,4031897
4.2,1796172
4.2,2712519
4.2,936300
4.2,10312042
4.2,1803197
4.2,12533521
4.2,3570771
4.2,12037281
4.2,10325386
4.2,3565752
4.2,3192666
4.2,7761750
4.2,12769693
4.2,1808628
4.2,6193868
4.2,6259712
4.2,8677146
4.2,7956954
4.2,6265556
4.2,12758912
4.2,42704
4.2,8661958
4.2,8567628
4.2,842470
4.2,8559146
4.2,12858837
4.2,7977934
4.2,12857894
4.2,1746338
4.2,12568264
4.2,460012
4.2,4625542
4.2,8663395
4.2,3596537
4.2,11344081
4.2,6365555
4.2,8660451
4.2,11322836
4.2,7776635
4.2,10348979
4.2,3014250
4.2,11940444
4.2,7765698
4.2,3584353
4.2,7963023
4.2,864399
4.2,11477838
4.2,1765560
4.2,12887645
4.2,7645706
4.2,4148642
4.2,11489447
4.2,1004748
4.2,3072790
4.2,2700068
4.2,11079717
4.2,10280742
4.2,3811346
4.2,6607440
4.2,2762884
4.2,10058989
4.2,2885270
4.2,11681087
4.2,1365743
4.2,12693995
4.2,1239967
4.2,75168
4.2,7226953
4.2,669469
4.2,12725016
4.2,671073
4.2,8257318
4.2,6912501
4.2,10055174
4.2,2828708
4.2,7215811
4.2,11228070
4.2,2829451
4.2,11671346
4.2,10047146
4.2,1343263
4.2,10059944
4.2,1236697
4.2,11682542
4.2,10063920
4.2,1429385
4.2,1217425
4.2,10086952
4.2,638439
4.2,2817610
4.2,11209572
4.2,8085052
4.2,1407027
4.2,1406719
4.2,11700614
4.2,1333056
4.2,1402857
4.2,1856777
4.2,2820010
4.2,651638
4.2,11213957
4.2,4392687
4.2,7300004
4.2,11693381
4.2,656417
4.2,9630180
4.2,2823089
4.2,3093534
4.2,1431352
4.2,6951977
4.2,2874829
4.2,16090
4.2,8188178
4.2,9589784
4.2,8138472
4.2,4332620
4.2,8179575
4.2,1292854
4.2,764591
4.2,1271311
4.2,1271970
4.2,7083405
4.2,7088619
4.2,762285
4.2,759931
4.2,2851775
4.2,7091359
4.2,3785563
4.2,8160532
4.2,3789045
4.2,758093
4.2,1279590
4.2,9602998
4.2,9996789
4.2,4336695
4.2,7160602
4.2,12110619
4.2,6973656
4.2,6980006
4.2,6980359
4.2,11980599
4.2,9577393
4.2,6989629
4.2,12723068
4.2,784782
4.2,6992742
4.2,787115
4.2,2838439
4.2,2840366
4.2,8121480
4.2,12721954
4.2,711381
4.2,9611885
4.2,7031256
4.2,10032550
4.2,7031933
4.2,8123273
4.2,7043122
4.2,8214342
4.2,630279
4.2,9906766
4.2,622955
4.2,7520921
4.2,2781361
4.2,10153316
4.2,6613578
4.2,11309831
4.2,1605642
4.2,4450358
4.2,2964831
4.2,1583131
4.2,2958514
4.2,9485790
4.2,44183
4.2,1566727
4.2,8405810
4.2,1566386
4.2,11305805
4.2,11168406
4.2,10115978
4.2,8397355
4.2,11170665
4.2,821216
4.2,826517
4.2,3641224
4.2,1081592
4.2,6584629
4.2,6503817
4.2,10185265
4.2,1670476
4.2,6515331
4.2,1667002
4.2,6522484
4.2,6530111
4.2,2969897
4.2,1659504
4.2,12051006
4.2,8390761
4.2,1649387
4.2,6551168
4.2,9454890
4.2,4487765
4.2,10170061
4.2,4478873
4.2,1631125
4.2,6570892
4.2,6571346
4.2,10164465
4.2,1619075
4.2,6547791
4.2,10111216
4.2,2956478
4.2,1109630
4.2,11738975
4.2,12742899
4.2,8057682
4.2,2805793
4.2,808154
4.2,11736313
