PrimaryKey,Index Value
174.0,80704
176.0,81182
177.0,81498
180.0,81757
181.0,82090
182.0,82563
183.0,83340
184.0,84335
185.0,84673
186.0,85032
187.0,85499
188.0,85833
189.0,86844
190.0,87565
191.0,88100
192.0,88795
193.0,89425
194.0,89744
195.0,90000
196.0,90273
197.0,91011
198.0,91499
199.0,91802
200.0,92110
201.0,92774
203.0,93126
204.0,93507
206.0,93796
207.0,94786
208.0,95248
209.0,95701
210.0,96253
211.0,96765
213.0,97127
214.0,97379
215.0,97710
217.0,98088
218.0,99200
219.0,99491
220.0,99747
221.0,100307
222.0,100790
223.0,101229
224.0,101545
226.0,101900
227.0,102185
228.0,103259
229.0,103617
231.0,104099
232.0,104472
233.0,104724
234.0,105152
236.0,105428
238.0,105689
239.0,106041
240.0,106396
241.0,106704
242.0,107030
243.0,107488
244.0,107759
245.0,108280
246.0,108558
247.0,108756
248.0,108921
249.0,109066
250.0,109264
251.0,109455
252.0,109692
253.0,109899
255.0,110064
257.0,110290
258.0,110425
259.0,110651
260.0,110794
261.0,111003
262.0,111220
263.0,111423
264.0,111660
265.0,111837
267.0,112077
268.0,112218
271.0,112397
272.0,112602
273.0,112838
274.0,112969
275.0,113194
276.0,113394
280.0,113566
281.0,113799
283.0,114006
285.0,114206
286.0,114399
288.0,114517
290.0,114666
291.0,114793
292.0,114966
293.0,115110
295.0,115350
296.0,115528
297.0,115654
298.0,115825
299.0,115952
300.0,116165
302.0,116402
303.0,116614
304.0,116775
305.0,116984
308.0,117173
309.0,117355
310.0,117502
312.0,117671
313.0,117808
315.0,117943
317.0,118158
318.0,118298
319.0,118496
320.0,118738
322.0,118850
323.0,119050
324.0,119184
325.0,119393
326.0,119548
327.0,119702
328.0,119826
329.0,119976
330.0,120150
332.0,120342
333.0,120551
334.0,120684
335.0,120811
336.0,120988
337.0,121215
338.0,121366
339.0,121528
341.0,121715
342.0,121896
343.0,122027
344.0,122251
345.0,122465
346.0,122626
347.0,122748
350.0,122938
351.0,123111
352.0,123257
355.0,123491
356.0,123674
358.0,123900
359.0,124060
362.0,124208
363.0,124330
364.0,124453
365.0,124605
366.0,124772
367.0,124990
368.0,125193
369.0,125369
370.0,125576
371.0,125763
372.0,125926
375.0,126148
376.0,126334
377.0,126466
378.0,126675
380.0,126847
381.0,126976
382.0,127137
383.0,127316
384.0,127469
385.0,127609
386.0,127819
387.0,127965
388.0,128131
389.0,128281
390.0,128407
391.0,128531
392.0,128676
394.0,128877
395.0,129011
396.0,129170
397.0,129364
398.0,129584
399.0,129811
401.0,129946
403.0,130174
404.0,130333
405.0,130481
406.0,130659
407.0,130957
408.0,131332
409.0,131649
410.0,132143
411.0,132699
412.0,133330
413.0,133706
414.0,134435
415.0,134892
416.0,135235
417.0,136665
418.0,136995
419.0,137822
420.0,138143
421.0,138624
422.0,139400
423.0,140312
426.0,140746
427.0,141125
428.0,141633
429.0,142131
432.0,142515
433.0,142935
434.0,143401
435.0,143767
436.0,144635
437.0,145693
438.0,145986
439.0,146322
440.0,146738
441.0,147073
442.0,148092
443.0,148377
444.0,148685
446.0,148963
447.0,149354
448.0,150083
449.0,150601
450.0,151070
453.0,151501
454.0,152019
457.0,152882
458.0,153296
459.0,153740
461.0,154322
463.0,154794
464.0,155171
466.0,155449
467.0,156107
468.0,156453
469.0,156761
470.0,157125
471.0,157526
472.0,157829
473.0,158099
474.0,159361
475.0,159681
476.0,160080
477.0,160459
478.0,160741
479.0,161363
480.0,161679
481.0,162129
482.0,162809
483.0,163103
484.0,163396
485.0,164096
486.0,164455
488.0,164902
489.0,165585
490.0,166048
